Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Squat (Barbell)",1,135.0,5,0,0,"","",
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Squat (Barbell)",2,135.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Squat (Barbell)",3,135.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Squat (Barbell)",4,135.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Squat (Barbell)",5,135.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Overhead Press (Barbell)",1,65.0,5,0,0,"",,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Overhead Press (Barbell)",2,65.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Overhead Press (Barbell)",3,65.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Overhead Press (Barbell)",4,65.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Overhead Press (Barbell)",5,65.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Deadlift (Barbell)",1,135.0,5,0,0,"",,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Deadlift (Barbell)",2,135.0,5,0,0,,,
2021-03-10 19:49:56,"Squat Press Deadlift",42m,"Deadlift (Barbell)",3,135.0,5,0,0,,,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Push Up",1,0,6,0,0,"","",
2021-07-06 07:50:23,"Early Morning Workout",8m,"Push Up",2,0,6,0,0,,,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Push Up",3,0,6,0,0,,,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Pull Up",1,0,3,0,0,"",,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Pull Up",2,0,3,0,0,,,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Pull Up",3,0,1,0,0,,,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Crunch",1,0,12,0,0,"",,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Crunch",2,0,10,0,0,,,
2021-07-06 07:50:23,"Early Morning Workout",8m,"Crunch",3,0,5,0,0,,,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Push Up",1,0,7,0,0,"","",
2021-07-07 08:09:45,"Calisthenics #1",8m,"Push Up",2,0,7,0,0,,,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Push Up",3,0,7,0,0,,,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Pull Up",1,0,3,0,0,"",,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Pull Up",2,0,3,0,0,,,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Pull Up",3,0,2,0,0,,,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Crunch",1,0,10,0,0,"",,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Crunch",2,0,10,0,0,,,
2021-07-07 08:09:45,"Calisthenics #1",8m,"Crunch",3,0,10,0,0,,,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Push Up",1,0,8,0,0,"","",
2021-07-08 09:33:33,"Calisthenics #1",14m,"Push Up",2,0,8,0,0,,,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Push Up",3,0,8,0,0,,,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Pull Up",1,0,3,0,0,"",,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Pull Up",2,0,3,0,0,,,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Pull Up",3,0,3,0,0,,,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Crunch",1,0,11,0,0,"",,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Crunch",2,0,11,0,0,,,
2021-07-08 09:33:33,"Calisthenics #1",14m,"Crunch",3,0,11,0,0,,,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Push Up",1,0,9,0,0,"","",
2021-07-12 08:48:58,"Calisthenics #1",16m,"Push Up",2,0,9,0,0,,,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Push Up",3,0,9,0,0,,,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Pull Up",1,0,3,0,0,"",,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Pull Up",2,0,3,0,0,,,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Pull Up",3,0,3,0,0,,,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Crunch",1,0,12,0,0,"",,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Crunch",2,0,12,0,0,,,
2021-07-12 08:48:58,"Calisthenics #1",16m,"Crunch",3,0,12,0,0,,,
2021-07-15 08:24:56,"Calisthenics #1",7m,"Push Up",1,0,10,0,0,"","",
2021-07-15 08:24:56,"Calisthenics #1",7m,"Push Up",2,0,10,0,0,,,
2021-07-15 08:24:56,"Calisthenics #1",7m,"Push Up",3,0,10,0,0,,,
2021-07-15 08:24:56,"Calisthenics #1",7m,"Pull Up",1,0,3,0,0,"",,
2021-07-15 08:24:56,"Calisthenics #1",7m,"Pull Up",2,0,3,0,0,,,
2021-07-15 08:24:56,"Calisthenics #1",7m,"Pull Up",3,0,3,0,0,,,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Push Up",1,0,11,0,0,"","",
2021-07-19 09:56:29,"Calisthenics #1",20m,"Push Up",2,0,11,0,0,,,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Push Up",3,0,11,0,0,,,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Pull Up",1,0,3,0,0,"",,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Pull Up",2,0,3,0,0,,,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Pull Up",3,0,3,0,0,,,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Crunch",1,0,13,0,0,"",,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Crunch",2,0,13,0,0,,,
2021-07-19 09:56:29,"Calisthenics #1",20m,"Crunch",3,0,13,0,0,,,
2021-08-29 14:09:23,"Squat Press Deadlift",1h 1m,"Squat (Barbell)",1,135.0,5,0,0,"","",
2021-08-29 14:09:23,"Squat Press Deadlift",1h 1m,"Squat (Barbell)",2,135.0,5,0,0,,,
2021-08-29 14:09:23,"Squat Press Deadlift",1h 1m,"Squat (Barbell)",3,135.0,5,0,0,,,
2021-08-29 14:09:23,"Squat Press Deadlift",1h 1m,"Squat (Barbell)",4,135.0,5,0,0,,,
2021-08-29 14:09:23,"Squat Press Deadlift",1h 1m,"Squat (Barbell)",5,135.0,5,0,0,,,
2021-08-29 14:09:23,"Squat Press Deadlift",1h 1m,"Overhead Press (Barbell)",1,65.0,5,0,0,"",,
2021-08-29 14:09:23,"Squat Press Deadlift",1h 1m,"Overhead Press (Barbell)",2,65.0,5,0,0,,,
